uniprot_accession,organism,organism_type,gh_family,length,input_fasta,model_source,swiss_model_status,model_path,template,gmqe,qmean,notes
A0A024FSH9,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,404,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A024FSH9.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A024FSH9_swissmodel.pdb,,,,
A0A059P9J8,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,351,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A059P9J8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A059P9J8_swissmodel.pdb,,,,
A0A075WJH8,Malbranchea pulchella,fungal,GH10,396,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A075WJH8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A075WJH8_swissmodel.pdb,,,,
A0A0C4K5J5,Papiliotrema flavescens,fungal,GH10,344,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A0C4K5J5.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A0C4K5J5_swissmodel.pdb,,,,
A0A0F9XA32,Trichoderma harzianum (Hypocrea lixii),fungal,GH11,221,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A0F9XA32.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A0F9XA32_swissmodel.pdb,,,,
A0A0K3A1E7,Xanthomonas graminis pv. arrhenatheri LMG 727,bacterial,GH10,404,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A0K3A1E7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A0K3A1E7_swissmodel.pdb,,,,
A0A0K3A9X5,Xanthomonas graminis pv. poae,bacterial,GH10,403,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A0K3A9X5.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A0K3A9X5_swissmodel.pdb,,,,
A0A0S3G5Y8,Bacillus sp. SC-2014,bacterial,GH11,194,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A0S3G5Y8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A0S3G5Y8_swissmodel.pdb,,,,
A0A0U2V335,Thermoactinospora rubra,bacterial,GH10,412,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A0U2V335.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A0U2V335_swissmodel.pdb,,,,
A0A173M083,Ruminiclostridium josui (Clostridium josui),bacterial,GH10,541,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A173M083.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A173M083_swissmodel.pdb,,,,
A0A1X9RHS0,Paenibacillus amylolyticus,bacterial,GH10,333,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A1X9RHS0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A1X9RHS0_swissmodel.pdb,,,,
A0A286N5W6,Paenibacillus massiliensis subsp. panacisoli,bacterial,GH10,902,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A286N5W6.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A286N5W6_swissmodel.pdb,,,,
A0A291B2R6,Humicola insolens (Soft-rot fungus),fungal,GH11,227,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A291B2R6.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A291B2R6_swissmodel.pdb,,,,
A0A291B2S7,Humicola insolens (Soft-rot fungus),fungal,GH11,294,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A291B2S7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A291B2S7_swissmodel.pdb,,,,
A0A291B2W8,Humicola insolens (Soft-rot fungus),fungal,GH11,227,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A291B2W8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A291B2W8_swissmodel.pdb,,,,
A0A291NUE5,Bacillus licheniformis,bacterial,GH11,213,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A291NUE5.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A291NUE5_swissmodel.pdb,,,,
A0A291NUI0,Bacillus subtilis,bacterial,GH11,213,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A291NUI0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A291NUI0_swissmodel.pdb,,,,
A0A2D0WJC8,Evansstolkia leycettana,fungal,GH11,217,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A2D0WJC8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A2D0WJC8_swissmodel.pdb,,,,
A0A2L1GH36,Caldicoprobacter sp,bacterial,GH11,380,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A2L1GH36.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A2L1GH36_swissmodel.pdb,,,,
A0A2L1GIZ3,Penicillium sp,fungal,GH11,218,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A2L1GIZ3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A2L1GIZ3_swissmodel.pdb,,,,
A0A2P0ZW24,Paenibacillus woosongensis,bacterial,GH10,481,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A2P0ZW24.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A2P0ZW24_swissmodel.pdb,,,,
A0A2Z5XER4,Penicillium sp,fungal,GH10,404,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A2Z5XER4.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A2Z5XER4_swissmodel.pdb,,,,
A0A3Q8TLG0,Thermobifida fusca (Thermomonospora fusca),bacterial,GH10,478,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A3Q8TLG0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A3Q8TLG0_swissmodel.pdb,,,,
A0A411KZA6,Allostreptomyces psammosilenae,bacterial,GH10,495,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A411KZA6.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A411KZA6_swissmodel.pdb,,,,
A0A4D6DK93,Streptomyces ipomoeae,bacterial,GH10,330,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A4D6DK93.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A4D6DK93_swissmodel.pdb,,,,
A0A5P6VQ80,Pseudobutyrivibrio xylanivorans,bacterial,GH10,694,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A5P6VQ80.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A5P6VQ80_swissmodel.pdb,,,,
A0A5P6VU75,Pseudobutyrivibrio xylanivorans,bacterial,GH10,1295,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A5P6VU75.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A5P6VU75_swissmodel.pdb,,,,
A0A6B9D8N2,Aspergillus sulphureus,fungal,GH11,216,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A6B9D8N2.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A6B9D8N2_swissmodel.pdb,,,,
A0A7G1PUW3,Pestalotiopsis sp. AN 7,fungal,GH10,328,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A7G1PUW3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A7G1PUW3_swissmodel.pdb,,,,
A0A7M3UE38,Cladosporium tianshanense,fungal,GH10,352,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A7M3UE38.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A7M3UE38_swissmodel.pdb,,,,
A0A8D5NM93,Streptomyces thermogriseus,bacterial,GH10,477,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A8D5NM93.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A8D5NM93_swissmodel.pdb,,,,
A0A8D5NPL2,Streptomyces thermogriseus,bacterial,GH11,331,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A8D5NPL2.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A8D5NPL2_swissmodel.pdb,,,,
A0A8E4VW23,Aspergillus sulphureus,fungal,GH10,404,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A8E4VW23.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A8E4VW23_swissmodel.pdb,,,,
A0A8H8R2B4,Lachnellula hyalina,fungal,GH11,223,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A8H8R2B4.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A8H8R2B4_swissmodel.pdb,,,,
A0A8H8S0Y0,Lachnellula occidentalis,fungal,GH11,223,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A8H8S0Y0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A8H8S0Y0_swissmodel.pdb,,,,
A0A8T9BDL5,Lachnellula arida,fungal,GH11,223,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A8T9BDL5.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A8T9BDL5_swissmodel.pdb,,,,
A0A8T9CAR3,Lachnellula suecica,fungal,GH11,166,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A8T9CAR3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A8T9CAR3_swissmodel.pdb,,,,
A0A9P5GH10,Penicillium crustosum (Blue mold fungus),fungal,GH10,360,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0A9P5GH10.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0A9P5GH10_swissmodel.pdb,,,,
A0AAV9NYM1,Saxophila tyrrhenica,fungal,GH11,282,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0AAV9NYM1.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0AAV9NYM1_swissmodel.pdb,,,,
A0AAW8VCD8,Bacteroides cellulosilyticus,bacterial,GH10,716,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0AAW8VCD8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0AAW8VCD8_swissmodel.pdb,,,,
A0ABM8UZ22,Thermobacillus xylanilyticus,bacterial,GH10,1474,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0ABM8UZ22.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0ABM8UZ22_swissmodel.pdb,,,,
A0ABM8V1H3,Thermobacillus xylanilyticus,bacterial,GH11,210,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0ABM8V1H3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0ABM8V1H3_swissmodel.pdb,,,,
A0ABN7RUD1,Thermobacillus xylanilyticus,bacterial,GH11,210,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0ABN7RUD1.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0ABN7RUD1_swissmodel.pdb,,,,
A0ABN7S7D7,Thermobacillus xylanilyticus,bacterial,GH10,445,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0ABN7S7D7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0ABN7S7D7_swissmodel.pdb,,,,
A0ABN7S882,Thermobacillus xylanilyticus,bacterial,GH10,429,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0ABN7S882.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0ABN7S882_swissmodel.pdb,,,,
A0ABN7S928,Thermobacillus xylanilyticus,bacterial,GH10,334,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A0ABN7S928.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A0ABN7S928_swissmodel.pdb,,,,
A5H0S3,Bacillus licheniformis,bacterial,GH11,213,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A5H0S3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A5H0S3_swissmodel.pdb,,,,
A7TVD4,Streptomyces fradiae (Streptomyces roseoflavus),bacterial,GH10,478,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/A7TVD4.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/A7TVD4_swissmodel.pdb,,,,
B1A3N2,Paenibacillus curdlanolyticus,bacterial,GH10,1276,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/B1A3N2.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/B1A3N2_swissmodel.pdb,,,,
B3PC74,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,378,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/B3PC74.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/B3PC74_swissmodel.pdb,,,,
B3PDA8,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,606,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/B3PDA8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/B3PDA8_swissmodel.pdb,,,,
B3PIN0,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,357,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/B3PIN0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/B3PIN0_swissmodel.pdb,,,,
B5SYI8,Bacillus licheniformis,bacterial,GH11,213,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/B5SYI8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/B5SYI8_swissmodel.pdb,,,,
B9VSZ3,Demequina sp. JK4,bacterial,GH10,471,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/B9VSZ3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/B9VSZ3_swissmodel.pdb,,,,
D2KPJ0,Bacillus sp. JB99,bacterial,GH11,210,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/D2KPJ0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/D2KPJ0_swissmodel.pdb,,,,
D3GKE3,Paenibacillus curdlanolyticus,bacterial,GH11,385,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/D3GKE3.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/D3GKE3_swissmodel.pdb,,,,
D6CGY9,Bacteroides xylanisolvens,bacterial,GH10,378,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/D6CGY9.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/D6CGY9_swissmodel.pdb,,,,
E0RXQ0,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,434,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/E0RXQ0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/E0RXQ0_swissmodel.pdb,,,,
E0RYH1,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,476,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/E0RYH1.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/E0RYH1_swissmodel.pdb,,,,
E0S1S5,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,996,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/E0S1S5.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/E0S1S5_swissmodel.pdb,,,,
E0S1Z8,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,692,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/E0S1Z8.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/E0S1Z8_swissmodel.pdb,,,,
E0S2F5,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,1233,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/E0S2F5.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/E0S2F5_swissmodel.pdb,,,,
E3WF08,Paenibacillus curdlanolyticus,bacterial,GH10,349,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/E3WF08.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/E3WF08_swissmodel.pdb,,,,
E9NSU0,Aspergillus usamii (Aspergillus shirousami),fungal,GH10,327,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/E9NSU0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/E9NSU0_swissmodel.pdb,,,,
E9S8N5,Ruminococcus albus 8,bacterial,GH11,540,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/E9S8N5.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/E9S8N5_swissmodel.pdb,,,,
E9SA77,Ruminococcus albus 8,bacterial,GH11,682,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/E9SA77.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/E9SA77_swissmodel.pdb,,,,
E9SDY0,Ruminococcus albus 8,bacterial,GH10,830,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/E9SDY0.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/E9SDY0_swissmodel.pdb,,,,
F0BDW7,Xanthomonas vesicatoria ATCC 35937,bacterial,GH10,330,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/F0BDW7.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/F0BDW7_swissmodel.pdb,,,,
F2Z9G6,Paenibacillus curdlanolyticus,bacterial,GH10,577,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/F2Z9G6.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/F2Z9G6_swissmodel.pdb,,,,
F6LP79,Ruminococcus albus 8,bacterial,GH10,377,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/F6LP79.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/F6LP79_swissmodel.pdb,,,,
F6LP81,Ruminococcus albus 8,bacterial,GH10,757,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/F6LP81.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/F6LP81_swissmodel.pdb,,,,
G0YP25,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,225,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/G0YP25.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/G0YP25_swissmodel.pdb,,,,
G0YP27,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,256,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/G0YP27.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/G0YP27_swissmodel.pdb,,,,
G0YP28,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,231,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/G0YP28.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/G0YP28_swissmodel.pdb,,,,
G1E731,Bacillus sp. JB 99,bacterial,GH10,396,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/G1E731.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/G1E731_swissmodel.pdb,,,,
G9BY19,Penicillium sp. enrichment culture clone C1,fungal,GH10,356,/home/ubuntu/xylanase/xylanase/models/swiss_model/inputs/G9BY19.fasta,,model_received,/home/ubuntu/xylanase/xylanase/models/swiss_model/outputs/G9BY19_swissmodel.pdb,,,,
