uniprot_accession,organism,organism_type,gh_family,optimum_temperature,optimum_pH,predicted_pI,gravy,instability_index,Probability,Class,Prediction,ionic_conditions,secretion_signal
P14768,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,,6.082761192321777,-0.2875613747954174,42.70181669394447,0.4462095200801393,0,Mesophilic,,
Q1K5S8,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH11,,,8.466326713562015,-0.4873720136518771,22.90242320819113,0.913795677661139,1,Thermophilic/Hyperthermophilic,,
Q21G61,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH11,,,4.607050514221191,-0.5413298565840938,27.05868318122554,0.4448811528158405,0,Mesophilic,,
Q8VP72,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,,,8.669659996032717,-0.4840336134453782,32.80117647058824,0.5465203360603805,1,Thermophilic/Hyperthermophilic,,
Q96UV7,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),fungal,GH11,,,4.550041007995605,-0.2346289752650177,29.285194346289742,0.9488554461711528,1,Thermophilic/Hyperthermophilic,,
U5HTZ3,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,,,5.940493202209471,-0.0656565656565656,31.210378787878778,0.2303990931522576,0,Mesophilic,,
A0A024FRL8,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,,,6.0748605728149405,0.0732984293193717,31.71782722513088,0.1019364305154619,0,Mesophilic,,
A0A024FRX8,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,,,5.801578712463378,0.0315926892950391,31.862167101827666,0.1022816106045478,0,Mesophilic,,
A0A024FS83,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,,,4.783137702941894,-0.0105527638190954,29.24349246231155,0.1032439757845086,0,Mesophilic,,
A0A024FSH9,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,,,4.492633628845215,-0.0853960396039604,31.8834405940594,0.4373157616866368,0,Mesophilic,,
A0A059P9J8,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,,,4.572833442687989,-0.0974358974358974,28.083789173789164,0.3429861875271491,0,Mesophilic,,
A0A075WJH8,Malbranchea pulchella,fungal,GH10,45,3.5,4.556236457824707,-0.2080808080808081,28.68840909090909,0.159675924670709,0,Mesophilic,,
A0A0C4K5J5,Papiliotrema flavescens,fungal,GH10,,,4.653090095520019,-0.2523255813953489,30.89566860465116,0.0482767395460732,0,Mesophilic,,
A0A0F9XA32,Trichoderma harzianum (Hypocrea lixii),fungal,GH11,,,7.87437801361084,-0.3380090497737557,19.08013574660632,0.7723148775099251,1,Thermophilic/Hyperthermophilic,,
A0A0K3A1E7,Xanthomonas graminis pv. arrhenatheri LMG 727,bacterial,GH10,,,7.134850883483887,-0.2141089108910891,29.30173267326732,0.1229591904857339,0,Mesophilic,,
A0A0K3A9X5,Xanthomonas graminis pv. poae,bacterial,GH10,,,8.763783836364745,-0.1985111662531017,28.88238213399503,0.3176568595995343,0,Mesophilic,,
A0A0S3G5Y8,Bacillus sp. SC-2014,bacterial,GH11,,,9.051054954528809,-0.4536082474226804,21.518041237113398,0.8091830153631242,1,Thermophilic/Hyperthermophilic,,
A0A0U2V335,Thermoactinospora rubra,bacterial,GH10,,,5.053804969787596,-0.2199029126213592,36.8175,0.9670412217209488,1,Thermophilic/Hyperthermophilic,,
A0A173M083,Ruminiclostridium josui (Clostridium josui),bacterial,GH10,,,5.2216505050659165,-0.2504621072088724,27.12883548983365,0.0487979160126193,0,Mesophilic,,
A0A1X9RHS0,Paenibacillus amylolyticus,bacterial,GH10,,,5.323562812805175,-0.4687687687687688,47.40093093093092,0.1008912465798012,0,Mesophilic,,
A0A286N5W6,Paenibacillus massiliensis subsp. panacisoli,bacterial,GH10,,,4.7145898818969725,-0.3501108647450111,33.004911308204115,0.5464150495416908,1,Thermophilic/Hyperthermophilic,,
A0A291B2R6,Humicola insolens (Soft-rot fungus),fungal,GH11,,,8.615957832336427,-0.7004405286343612,32.517268722466945,0.3611535951952894,0,Mesophilic,,
A0A291B2S7,Humicola insolens (Soft-rot fungus),fungal,GH11,,,8.702732276916507,-0.6551020408163265,23.2438775510204,0.8363604036185069,1,Thermophilic/Hyperthermophilic,,
A0A291B2W8,Humicola insolens (Soft-rot fungus),fungal,GH11,,,8.489664268493652,-0.4766519823788546,31.323788546255496,0.7910994623394553,1,Thermophilic/Hyperthermophilic,,
A0A291NUE5,Bacillus licheniformis,bacterial,GH11,50,6.0,9.645646858215333,-0.447887323943662,23.65727699530516,0.5642227185736092,1,Thermophilic/Hyperthermophilic,,
A0A291NUI0,Bacillus subtilis,bacterial,GH11,100,5.0,9.442055702209473,-0.4281690140845071,15.86619718309859,0.6227893110031075,1,Thermophilic/Hyperthermophilic,,
A0A2D0WJC8,Evansstolkia leycettana,fungal,GH11,60,,4.630866050720214,-0.4552995391705069,24.888479262672803,0.6514556453645807,1,Thermophilic/Hyperthermophilic,,
A0A2L1GH36,Caldicoprobacter sp,bacterial,GH11,,,8.38522548675537,-0.1963157894736842,16.2058947368421,0.9185670961711282,1,Thermophilic/Hyperthermophilic,,
A0A2L1GIZ3,Penicillium sp,fungal,GH11,,,4.22253475189209,-0.4513761467889908,20.971559633027507,0.4127984163584939,0,Mesophilic,,
A0A2P0ZW24,Paenibacillus woosongensis,bacterial,GH10,,,7.724384880065918,-0.3070686070686071,21.82349272349272,0.1651989590979716,0,Mesophilic,,
A0A2Z5XER4,Penicillium sp,fungal,GH10,,,5.064263343811034,-0.0972772277227723,28.416113861386133,0.3717960822893696,0,Mesophilic,,
A0A3Q8TLG0,Thermobifida fusca (Thermomonospora fusca),bacterial,GH10,,,5.20727024078369,-0.597489539748954,42.91612970711297,0.0848327004434658,0,Mesophilic,,
A0A411KZA6,Allostreptomyces psammosilenae,bacterial,GH10,,,5.551543998718262,-0.2149494949494949,26.29333333333333,0.827107708142467,1,Thermophilic/Hyperthermophilic,,
A0A4D6DK93,Streptomyces ipomoeae,bacterial,GH10,75 - 80,6.5,7.206638526916504,-0.3624242424242424,32.50939393939395,0.7860862083530997,1,Thermophilic/Hyperthermophilic,,
A0A5P6VQ80,Pseudobutyrivibrio xylanivorans,bacterial,GH10,,5.6,8.638134956359863,-0.4403458213256484,16.463559077809798,0.756813567092409,1,Thermophilic/Hyperthermophilic,,
A0A5P6VU75,Pseudobutyrivibrio xylanivorans,bacterial,GH10,,5.6,4.602503395080566,-0.6131274131274131,31.09946718146738,0.0064131387919674,0,Mesophilic,,
A0A6B9D8N2,Aspergillus sulphureus,fungal,GH11,50,5.0,4.938819694519042,-0.4689814814814814,19.01208333333332,0.367346446059595,0,Mesophilic,,
A0A7G1PUW3,Pestalotiopsis sp. AN 7,fungal,GH10,,,6.519170951843263,-0.0932926829268292,23.96036585365853,0.032909693039727,0,Mesophilic,,
A0A7M3UE38,Cladosporium tianshanense,fungal,GH10,,,8.65012607574463,-0.3707386363636363,36.88957386363636,0.08678606085322,0,Mesophilic,,
A0A8D5NM93,Streptomyces thermogriseus,bacterial,GH10,,,7.022480201721191,-0.3549266247379455,26.950524109014676,0.0486295924170091,0,Mesophilic,,
A0A8D5NPL2,Streptomyces thermogriseus,bacterial,GH11,,,9.199396705627445,-0.3894259818731118,23.653504531722064,0.8010727082456378,1,Thermophilic/Hyperthermophilic,,
A0A8E4VW23,Aspergillus sulphureus,fungal,GH10,50,5.0,6.16659870147705,-0.2653465346534653,28.53269801980198,0.2827502052774733,0,Mesophilic,,
A0A8H8R2B4,Lachnellula hyalina,fungal,GH11,,,4.984575080871582,-0.1668161434977578,18.681210762331837,0.8430870672011213,1,Thermophilic/Hyperthermophilic,,
A0A8H8S0Y0,Lachnellula occidentalis,fungal,GH11,,,4.954620933532714,-0.2085201793721973,19.52022421524663,0.7209633062613052,1,Thermophilic/Hyperthermophilic,,
A0A8T9BDL5,Lachnellula arida,fungal,GH11,,,4.74272518157959,-0.2255605381165919,16.88340807174887,0.7864581150660571,1,Thermophilic/Hyperthermophilic,,
A0A8T9CAR3,Lachnellula suecica,fungal,GH11,,,8.546783256530762,-0.2138554216867469,34.0072891566265,0.1995965750096318,0,Mesophilic,,
A0A9P5GH10,Penicillium crustosum (Blue mold fungus),fungal,GH10,,,5.152989006042478,-0.2761111111111111,38.315333333333314,0.0057353314938986,0,Mesophilic,,
A0AAV9NYM1,Saxophila tyrrhenica,fungal,GH11,,,4.33376865386963,-0.2322695035460993,30.721631205673745,0.7669264297557724,1,Thermophilic/Hyperthermophilic,,
A0AAW8VCD8,Bacteroides cellulosilyticus,bacterial,GH10,,,6.614262580871583,-0.5043296089385475,32.8848184357542,0.0630455458978244,0,Mesophilic,,
A0ABM8UZ22,Thermobacillus xylanilyticus,bacterial,GH10,,,4.622056007385253,-0.3346675712347354,30.35902985074645,0.4312095964902472,0,Mesophilic,,
A0ABM8V1H3,Thermobacillus xylanilyticus,bacterial,GH11,,,9.097149848937988,-0.4228571428571428,11.593333333333334,0.8104631937996933,1,Thermophilic/Hyperthermophilic,,
A0ABN7RUD1,Thermobacillus xylanilyticus,bacterial,GH11,,,7.986101722717286,-0.2419047619047619,25.01095238095237,0.4190872521214736,0,Mesophilic,,
A0ABN7S7D7,Thermobacillus xylanilyticus,bacterial,GH10,,,4.600741386413574,-0.369438202247191,38.24494382022473,0.5285845908715157,1,Thermophilic/Hyperthermophilic,,
A0ABN7S882,Thermobacillus xylanilyticus,bacterial,GH10,,,4.725787162780762,-0.4962703962703962,36.19370629370631,0.2789249534943417,0,Mesophilic,,
A0ABN7S928,Thermobacillus xylanilyticus,bacterial,GH10,,,5.541824531555174,-0.4988023952095808,37.60392215568862,0.639327048987617,1,Thermophilic/Hyperthermophilic,,
A5H0S3,Bacillus licheniformis,bacterial,GH11,50,6.0,9.696641349792484,-0.4577464788732394,24.426291079812195,0.6087836938558171,1,Thermophilic/Hyperthermophilic,,
A7TVD4,Streptomyces fradiae (Streptomyces roseoflavus),bacterial,GH10,60,7.8,8.27066516876221,-0.3389121338912134,33.05523012552302,0.1718684742835543,0,Mesophilic,,
B1A3N2,Paenibacillus curdlanolyticus,bacterial,GH10,,7.0,4.743464088439941,-0.3906739811912226,22.06999216300951,0.0378922592886728,0,Mesophilic,,
B3PC74,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,,6.9348344802856445,-0.4031746031746032,33.28280423280423,0.0235663662050506,0,Mesophilic,,
B3PDA8,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,,,4.692706871032715,-0.176072607260726,39.13466996699679,0.0128368091603781,0,Mesophilic,,
B3PIN0,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,,,8.669659996032717,-0.4843137254901961,32.80117647058824,0.5442892790565865,1,Thermophilic/Hyperthermophilic,,
B5SYI8,Bacillus licheniformis,bacterial,GH11,50,6.0,9.696641349792484,-0.4666666666666667,24.426291079812195,0.5608954144145568,1,Thermophilic/Hyperthermophilic,,
B9VSZ3,Demequina sp. JK4,bacterial,GH10,55,5.5,8.88066501617432,-0.3537154989384288,29.94267515923565,0.6919925270132381,1,Thermophilic/Hyperthermophilic,,
D2KPJ0,Bacillus sp. JB99,bacterial,GH11,,,9.184697914123536,-0.3961904761904762,23.032857142857136,0.8279782338762746,1,Thermophilic/Hyperthermophilic,,
D3GKE3,Paenibacillus curdlanolyticus,bacterial,GH11,,6.0,6.438686943054199,-0.5212987012987014,22.806779220779227,0.5366090597312149,1,Thermophilic/Hyperthermophilic,,
D6CGY9,Bacteroides xylanisolvens,bacterial,GH10,,,7.720121955871583,-0.4410052910052909,29.473571428571415,0.0741584335610665,0,Mesophilic,,
E0RXQ0,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,,,4.549472618103027,-0.4587557603686635,28.641036866359453,0.0026243231613715,0,Mesophilic,,
E0RYH1,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,,,4.677871894836425,-0.7090336134453782,45.09771008403364,0.0038711960375392,0,Mesophilic,,
E0S1S5,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,,,5.490044212341308,-0.4669678714859438,25.625853413654635,0.510278182453098,1,Thermophilic/Hyperthermophilic,,
E0S1Z8,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,,,5.187603950500487,-0.4345375722543352,37.76361271676307,0.1272205005049208,0,Mesophilic,,
E0S2F5,Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum),bacterial,GH10,,,4.554701805114747,-0.4490673154906732,27.760356853203763,0.0454255565769818,0,Mesophilic,,
E3WF08,Paenibacillus curdlanolyticus,bacterial,GH10,,7.5,5.5188615798950185,-0.4911174785100287,43.62151862464184,0.0881444122740701,0,Mesophilic,,
E9NSU0,Aspergillus usamii (Aspergillus shirousami),fungal,GH10,,,6.169554328918457,-0.1403669724770642,31.04223241590213,0.0502191298039225,0,Mesophilic,,
E9S8N5,Ruminococcus albus 8,bacterial,GH11,,,5.338568305969238,-0.5714814814814815,23.458759259259256,0.3483262282288823,0,Mesophilic,,
E9SA77,Ruminococcus albus 8,bacterial,GH11,,,4.49041690826416,-0.482258064516129,29.40970674486802,0.0350454303303139,0,Mesophilic,,
E9SDY0,Ruminococcus albus 8,bacterial,GH10,,,5.159866523742674,-0.4804819277108433,23.29133734939759,0.0808835849155795,0,Mesophilic,,
F0BDW7,Xanthomonas vesicatoria ATCC 35937,bacterial,GH10,,,5.767645835876464,-0.3724242424242424,40.14333333333334,0.0615801624406686,0,Mesophilic,,
F2Z9G6,Paenibacillus curdlanolyticus,bacterial,GH10,,6.0,5.62435474395752,-0.2649913344887348,20.04402079722703,0.5485946540899654,1,Thermophilic/Hyperthermophilic,,
F6LP79,Ruminococcus albus 8,bacterial,GH10,,,4.557032203674317,-0.4856763925729442,35.47275862068967,0.0178621355585835,0,Mesophilic,,
F6LP81,Ruminococcus albus 8,bacterial,GH10,,,6.67979793548584,-0.5351387054161163,20.91665785997359,0.1188403877929919,0,Mesophilic,,
G0YP25,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,,,5.013392448425292,-0.38,22.236044444444428,0.5065972572216854,1,Thermophilic/Hyperthermophilic,,
G0YP27,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,,,4.704188346862792,-0.301171875,35.34027343750001,0.6908148446945479,1,Thermophilic/Hyperthermophilic,,
G0YP28,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,,,4.0500284194946286,-0.3593073593073593,25.19614718614717,0.224893824809356,0,Mesophilic,,
G1E731,Bacillus sp. JB 99,bacterial,GH10,,,4.7672227859497065,-0.581060606060606,31.67979797979798,0.0359571860834276,0,Mesophilic,,
G9BY19,Penicillium sp. enrichment culture clone C1,fungal,GH10,,,4.663548469543457,-0.3143258426966292,27.283764044943812,0.062542342759601,0,Mesophilic,,
G9DBG3,Talaromyces pinophilus (Penicillium pinophilum),fungal,GH11,,,4.38753833770752,-0.2618025751072961,30.89227467811158,0.7109649775874046,1,Thermophilic/Hyperthermophilic,,
H6WWN7,Aspergillus oryzae (Yellow koji mold),fungal,GH11,,,5.709954261779786,-0.2883620689655172,22.6883620689655,0.8389186865915742,1,Thermophilic/Hyperthermophilic,,
I3NRT9,Thermobifida halotolerans,bacterial,GH11,,,9.336069679260255,-0.4898507462686567,29.821820895522382,0.890849771195792,1,Thermophilic/Hyperthermophilic,,
I4DXK6,Paenibacillus curdlanolyticus,bacterial,GH10,,6.0,9.348512077331542,-0.1915094339622641,23.47924528301885,0.0408325797633795,0,Mesophilic,,
J7JXS8,Caldanaerobius polysaccharolyticus,bacterial,GH10,,,4.869646644592284,-0.3740027510316368,27.137771664374323,0.0409605690439105,0,Mesophilic,,
Q0PRN5,Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum),bacterial,GH10,,,6.019158363342284,-0.258628841607565,24.457919621749408,0.0200234978289503,0,Mesophilic,,
Q21GI8,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,,,5.148498725891112,-0.3126009693053311,50.28678513731843,0.3216575588168792,0,Mesophilic,,
Q21HD6,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,,,8.74721546173096,-0.3481283422459894,36.21018716577538,0.0146728239480955,0,Mesophilic,,
Q21MW6,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH11,,,6.302671241760254,-0.4818181818181818,32.384072727272724,0.0482663539790882,0,Mesophilic,,
Q21NZ2,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,,,4.326663780212404,-0.516268656716418,39.056283582089655,0.2502018055346264,0,Mesophilic,,
Q21PD4,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH10,,,4.900226020812987,-0.4172473867595819,41.71641114982584,0.1772682960235465,0,Mesophilic,,
Q288H9,Flavobacterium sp. MSY2,bacterial,GH10,,,8.601387977600101,-0.4320754716981132,29.166064690026943,0.0642765439256257,0,Mesophilic,,
Q45UD8,Aspergillus usamii (Aspergillus shirousami),fungal,GH11,,,4.310066795349122,-0.1563981042654028,23.06303317535543,0.5848440349766928,1,Thermophilic/Hyperthermophilic,,
Q546Y2,Halalkalibacterium halodurans (Bacillus halodurans),bacterial,GH10,,,4.660422325134278,-0.5752525252525252,32.685101010101,0.0582683270837522,0,Mesophilic,,
Q5YB84,Neocallimastix frontalis (Rumen fungus),fungal,GH11,,,6.710263633728027,-0.5112026359143328,17.31879736408567,0.0971064168698425,0,Mesophilic,,
Q6GVM9,Ruminococcus albus,bacterial,GH11,,,5.338568305969238,-0.5588560885608855,23.409095940959407,0.3481126537303141,0,Mesophilic,,
Q6UN40,Thermochaetoides thermophila,fungal,GH11,,7.8,9.17457637786865,-0.4404494382022472,26.20977528089889,0.7033741520448665,1,Thermophilic/Hyperthermophilic,,
Q79MJ7,Halalkalibacterium halodurans (Bacillus halodurans),bacterial,GH11,,,9.184697914123536,-0.3961904761904762,23.032857142857136,0.8279782338762746,1,Thermophilic/Hyperthermophilic,,
Q7RW51,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,,,7.982169151306152,-0.2099767981438515,36.32273781902552,0.148766436721199,0,Mesophilic,,
Q7S0Y0,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,,,8.28639545440674,-0.2711246200607903,32.654133738601814,0.0493558390515003,0,Mesophilic,,
Q7S3P8,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,,,6.073780632019043,-0.35546875,31.429713541666665,0.021227770037629,0,Mesophilic,,
Q7S6C2,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH10,,,8.106464195251466,-0.1550561797752809,39.45865168539326,0.1758634775764016,0,Mesophilic,,
Q7SDQ1,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH11,,,9.197462654113773,-0.500909090909091,19.015499999999992,0.5227792192279271,1,Thermophilic/Hyperthermophilic,,
Q7Z8B8,Neocallimastix frontalis (Rumen fungus),fungal,GH11,,,6.818939781188964,-0.56973293768546,18.329703264094952,0.1041636469088825,0,Mesophilic,,
Q8GMV6,Thermopolyspora flexuosa,bacterial,GH10,,7.0,6.602951622009278,-0.5042682926829268,36.30081300813008,0.0711497710496341,0,Mesophilic,,
Q8GMV7,Thermopolyspora flexuosa,bacterial,GH11,,7.0,9.434126091003415,-0.5677325581395349,25.56398255813953,0.9059381322030412,1,Thermophilic/Hyperthermophilic,,
Q8J1V4,Thermochaetoides thermophila,fungal,GH11,,,8.488245964050293,-0.4723214285714285,32.44017857142857,0.7296996447490716,1,Thermophilic/Hyperthermophilic,,
Q8J1V5,Thermochaetoides thermophila,fungal,GH11,,,9.160006523132324,-0.3817391304347826,16.788695652173903,0.5352324374544005,1,Thermophilic/Hyperthermophilic,,
Q8J1V6,Thermochaetoides thermophila,fungal,GH11,,6.5,9.5432710647583,-0.6042145593869731,26.44984674329501,0.6473098007913943,1,Thermophilic/Hyperthermophilic,,
Q9HDL7,Cochliobolus heterostrophus (Southern corn leaf blight fungus) (Bipolaris maydis),fungal,GH11,,,9.558807945251464,-0.9140350877192984,34.03333333333333,0.2941883233654938,0,Mesophilic,,
Q9HEN3,Curvularia spicifera,fungal,GH11,,,9.434448432922364,-0.8184210526315789,13.27017543859649,0.4551879326639653,0,Mesophilic,,
Q9HEN4,Curvularia spicifera,fungal,GH11,,,9.69528751373291,-0.8736842105263157,28.489473684210523,0.3538345589123749,0,Mesophilic,,
Q9HEN5,Cochliobolus sativus (Common root rot and spot blotch fungus) (Bipolaris sorokiniana),fungal,GH11,,,9.644164085388184,-0.7035087719298246,19.83070175438596,0.5,0,Mesophilic,,
Q9HEN6,Cochliobolus sativus (Common root rot and spot blotch fungus) (Bipolaris sorokiniana),fungal,GH11,,,9.69528751373291,-0.9482456140350876,34.86140350877192,0.1709516963458684,0,Mesophilic,,
Q9HEN7,Cochliobolus heterostrophus (Southern corn leaf blight fungus) (Bipolaris maydis),fungal,GH11,,,9.644164085388184,-0.7008771929824562,15.385964912280704,0.5215540819686129,1,Thermophilic/Hyperthermophilic,,
Q9HEP2,Bipolaris sorghicola,fungal,GH11,,,9.694449424743652,-0.6552631578947369,15.878070175438598,0.528530972420047,1,Thermophilic/Hyperthermophilic,,
Q9HEP3,Bipolaris sorghicola,fungal,GH11,,,9.558807945251464,-0.9140350877192984,34.03333333333333,0.2941883233654938,0,Mesophilic,,
Q9RQB7,Xylanimonas pachnodae,bacterial,GH10,,,4.210030174255372,-0.1186813186813186,24.00845308537633,0.9245038544856324,1,Thermophilic/Hyperthermophilic,,
Q9RQB8,Xylanimonas pachnodae,bacterial,GH11,,,9.183988761901857,-0.2928358208955224,24.382716417910448,0.8060922181254857,1,Thermophilic/Hyperthermophilic,,
S4S3F1,Phialophora sp. P13,fungal,GH11,,,4.289093208312988,-0.3072649572649573,31.66670940170941,0.6893550209104192,1,Thermophilic/Hyperthermophilic,,
U5HTS3,Ophiostoma piliferum (Ceratocystis pilifera),fungal,GH11,,,5.845913124084471,-0.2694444444444444,30.6560648148148,0.6308675719348035,1,Thermophilic/Hyperthermophilic,,
U5HU68,Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata),fungal,GH11,,,8.76894130706787,-0.4882608695652173,23.135260869565208,0.7266542400345805,1,Thermophilic/Hyperthermophilic,,
V5R355,Aspergillus fumigatus (Neosartorya fumigata),fungal,GH11,,,9.007538795471191,-0.5328042328042328,20.36560846560846,0.8821214165673673,1,Thermophilic/Hyperthermophilic,,
V9NCQ7,Bacillus sp. SN5,bacterial,GH11,,,4.683839988708496,-0.4909836065573771,26.599781420765044,0.1401356348941198,0,Mesophilic,,
W5VXL4,Neurospora sitophila (Chrysonilia sitophila),fungal,GH11,,,9.18495578765869,-0.3901595744680851,31.72505319148935,0.9650573217588296,1,Thermophilic/Hyperthermophilic,,
A0A0K8J318,Herbinix luporum,bacterial,GH11,,,4.488711738586425,-0.2759090909090909,26.81545454545455,0.0549295957141748,0,Mesophilic,,
A0A6M5Z4H3,Frigoriglobus tundricola,bacterial,GH10,,,4.760743141174316,0.0254980079681274,38.40139442231076,0.9555177222034072,1,Thermophilic/Hyperthermophilic,,
A0A7U4XSS7,Clostridium sporogenes,bacterial,GH11,,,9.097536659240724,-0.4133333333333333,28.708148148148144,0.1275501816744384,0,Mesophilic,,
